k|l|c|min(Referer)
svpressa.ru|307.8648835914462|242465|http://svpressa.ru/
msuzie-showforumdisplay|263.31170358753184|183636|http://msuzie-showforumdisplay/63/~2/?name=&cost_neu%3D400%26retpath=default777TWCWkI9lalUwTXpJMU1q
"saint-peters-total=меньше 80"|242.51707971531314|200501|"http://saint-peters-total=меньше 80/cash/station=search&input_age1=&int[2274/trashbox.ru/details&cad=rjt&fu=0&input_who1=2&input_who1=2&input_city-4400047.html?1=1&price_ot=&price_ot=&price=мень&clid=143431512&s_yers=0&model&desc=&name=1&markett.ru%2Frenazheltyj-95692465&text=поздравстраницу&clid=4405404/menu_29.html&ei=UIX1UZTFNJTI0ci8guSn3tW.pl?cmd=showthreadreplies=978-4121-469171&history47/11/?from=&district"
domics|212.896025515211|326080|http://domics/825179.11931861234499792
e96.ru|210.09327398091065|1018998|http://e96.ru/%3Ffrom]=&input_act[count_num=0&dff=arian-carrina1201517&cad=rjt&fu=0&input_state/apartments-sale/list.htm?size=30&input_with_photo-takovo-zuevo-shpilki.ru/real.nn.ru/yandex.ua/searchAuto=on&input_who1=2&input_online.ru/clck/51cbd&ll=&top=http://loveplane=42621/page9
gadgets.irr.ru|131.9496418102524|349675|https://gadgets.irr.ru/2jmj7l5rSw0yVb
google.ru|109.23626239722454|2158346|http://google.ru/
go.mail|108.63609607446642|8227493|http://go.mail/04/detskaia-moda-zhiensmed
msouz.ru|106.10166520305536|301765|http://msouz.ru/?ffshop
state=19945206|105.64370844384077|512409|"http://state=19945206/foto-4/login%20NoTs3M&where=all&filmId=u8aGGqtWs3M&where=all&server=sc.cheloveplanet.ru/forum.little&categoriya/muzhskaya_istory.com/demii-malchik_148_4055074241537][to]=&input_activalry: A Love&where=all&text=купить florer&aktion/loansert перевозобности&site_id=197&text=добавь   лазерногорский  тайская полупая автомобильника&v=1414-resp_desyachnyeprague"
loveplanet.ru|104.59863944103016|461134|http://loveplanet.ru/%3Faw_opel/page=2013
bonprix.ru|104.41397458084346|1125057|http://bonprix.ru/
novjob.ru|96.75331644732393|133049|http://novjob.ru/
cn.ru|95.62988273417072|124674|http://cn.ru/GameMain.aspx#catalog/100523&tails.xml?market_pc.html?pid=9403&lr=47&msgid=36305f39386
geomethiettai.ru|94.78441150587545|115906|https://geomethiettai.ru/GameMain.aspx?group=houses/list=266559j7077&num=7&prune_day=lastdiscussd59394303&price_ot=&priceup&page3/sankt-petushhiblock
kino|90.27209389436884|120135|http://kino/6/21/2/women.asp?whichpage4/#oversion=unreadm&uid
yaroslavens.ru|90.17111441069063|124595|http://yaroslavens.ru/main.aspx#catalog%2F1004-1100000147-otvet/actions/dislocal
mysw.info|89.68397108921269|984546|http://mysw.info/
m.myloveplanet.ru|88.7305930950747|151544|http://m.myloveplanet.ru/
povarenok.ru|83.96832422951294|144811|http://povarenok.ru/
gorod|80.33040423379813|110728|http://gorod/%3Fauto.ria.ua%2Fjob
yandsearch|80.20030577309359|245934|http://www.yandsearch/rooms=1/page2
myloveplanet.ru|80.08091732831745|110582|http://myloveplanet.ru/#associety/auto
tambov.irr.ru|77.86451772496336|315318|http://tambov.irr.ru/0/c1/tgFtaeLDK0yb01A7xvQF08sjCFqQxn51
kurortmag.ru|75.74717737001089|155263|http://kurortmag.ru/
