c_last_name|c_first_name|ca_city|bought_city|ss_ticket_number|extended_price|extended_tax|list_price
Batson|Gina|Hopewell|Rankin|1347|160.88|4.92|346.92
Berry|Nancy|Pleasant Valley|Mount Vernon|2352|184.09|8.62|368.84
Britt|Inez|Edgewood|Plainview|61|247.32|15.62|349.19
Eller|Christopher|Flint|Royal|1192|192.00|5.91|331.58
Foster|Olive|Oak Ridge|Five Forks|1167|99.98|4.42|232.98
Guerra|Shirlene|Pleasant Valley|Five Points|1463|199.94|12.84|446.78
Hernandez|Rachel|Greenwood|Harmony|1864|325.31|13.97|536.06
Jackson|Jill|Bunker Hill|Bridgeport|1605|396.75|15.86|673.39
Marcum|Issac|Green Acres|Enterprise|2102|220.87|12.92|489.21
Orr|Jeffrey|Clifton|Oakdale|435|87.22|1.71|303.69
Pierce|Joshua|Oakland|Springfield|1300|265.27|10.39|741.19
Prieto|Victoria|Belmont|Stringtown|2013|182.68|3.13|376.17
Sanderson|Sean|Marion|Spring Valley|2357|219.97|6.04|352.28
Sandlin|Eduardo|Pleasant Grove|Waterloo|794|209.80|9.00|481.60
Spencer|Stuart|Centerville|Highland|70|156.16|10.58|351.99
Wilkins|Jill|Mount Vernon|Woodland|1574|362.21|12.30|544.37
Williams|Betty|Five Points|Riverside|858|326.43|9.53|612.62
Young|Althea|Jamestown|Riverside|1289|255.48|13.12|429.37
