c_last_name|c_first_name|c_salutation|c_preferred_cust_flag|ss_ticket_number|cnt
NULL|NULL|NULL|NULL|46266|15
NULL|NULL|NULL|NULL|57507|16
NULL|NULL|NULL|NULL|151297|15
NULL|NULL|NULL|Y|96514|15
NULL|NULL|NULL|Y|129227|15
NULL|NULL|NULL|Y|134349|15
NULL|NULL|NULL|N|1281|16
NULL|NULL|NULL|N|37443|15
NULL|NULL|Mr.|NULL|167512|15
NULL|NULL|Mr.|Y|214003|15
NULL|NULL|Mr.|N|171917|15
NULL|NULL|Ms.|NULL|54536|15
NULL|Brian|Sir|Y|147361|15
NULL|Elizabeth|NULL|NULL|8949|16
NULL|George|Dr.|Y|229713|15
NULL|Grace|NULL|NULL|147095|15
NULL|Joshua|Sir|Y|108357|15
NULL|Judy|Dr.|NULL|234350|15
NULL|Karen|Dr.|Y|121790|15
NULL|Paul|NULL|NULL|158955|16
NULL|Timothy|Sir|N|207936|16
Adams|Willie|Sir|Y|88285|16
Akers|Susan|Miss|N|239968|15
Alexander|Annie|Dr.|N|72228|16
Alexander|April|Miss|Y|180849|16
Alford|Deborah|Miss|Y|97678|15
Allen|David|Sir|Y|132301|15
Allen|Kenneth|Sir|Y|89944|16
Alvarado|Susan|Ms.|Y|35570|15
Alves|Sam|Dr.|Y|129660|15
Anderson|Cindy|Miss|N|90504|16
Anderson|Eloise|Mrs.|N|59994|16
Anderson|Martha|Mrs.|Y|74295|16
Anderson|Norma|Miss|Y|132983|15
Anderson|Rosemarie|Mrs.|Y|178489|15
Andrews|Cindy|Miss|Y|132595|15
Andrews|Robert|Sir|Y|30467|16
Anthony|Steven|Dr.|Y|210849|15
Archibald|Cindy|Miss|Y|87178|16
Arnold|Kimberly|Mrs.|Y|233183|15
Arsenault|Janet|Mrs.|N|169973|16
Bailey|Anita|Mrs.|Y|212443|15
Bailey|Lucille|Mrs.|Y|2490|15
Bailey|Steve|Mr.|Y|91065|15
Baker|Elijah|Sir|N|97264|16
Baker|Erik|Sir|Y|69511|16
Baker|Robert|Dr.|Y|28481|15
Ballard|Eleanor|Miss|N|38446|16
Barnes|Michael|Mr.|N|168802|15
Barnes|Mikel|Sir|N|102567|16
Bates|Beverly|Miss|N|122717|15
Battle|Lashanda|Dr.|N|88515|15
Bear|Tommy|Sir|N|27468|16
Bender|Grover|Dr.|Y|152239|16
Benedict|Bridget|Dr.|N|16544|15
Benson|Mike|Sir|Y|53219|16
Bernard|Eric|Sir|N|83015|15
Bernstein|Stephen|Sir|N|177678|15
Berry|Theresa|Ms.|Y|77257|15
Blake|John|Mr.|N|193896|15
Blanchard|Joanne|Dr.|Y|5917|16
Blanco|John|Sir|Y|145319|15
Bohn|Steven|Mr.|N|219031|16
Boles|George|Sir|N|64282|15
Bourgeois|Betty|Miss|Y|167229|15
Bowden|Kathleen|Ms.|Y|106265|15
Boyd|Mildred|Miss|N|190083|15
Boyle|Timothy|Dr.|Y|21865|15
Broome|Anthony|Miss|N|169148|15
Brower|Ann|Ms.|N|230732|15
Brower|Donald|Dr.|N|163579|15
Brown|Charles|Mr.|Y|221610|15
Brown|David|Mr.|Y|162755|15
Brown|Janice|Ms.|N|138617|15
Brown|Roderick|Mr.|Y|221290|16
Brown|Will|Mr.|N|147392|15
Bruno|Darren|Mr.|Y|198805|15
Bryant|Marvin|Dr.|N|188014|15
Buckley|Charles|Dr.|Y|17491|15
Burch|Diana|Mrs.|Y|115522|16
Burgess|Clark|Dr.|Y|124990|15
Burris|Fred|Mr.|N|234453|15
Butcher|Francine|Mrs.|Y|112093|15
Byrd|Jose|Dr.|Y|144511|15
Cabrera|Jaqueline|Mrs.|N|81629|15
Callahan|Kenneth|Mr.|N|110667|16
Campbell|Gordon|Mr.|N|196090|16
Carpenter|Stephen|Mr.|N|174519|15
Carroll|Frederick|Mr.|N|56635|16
Carson|Angel|Mrs.|Y|94684|15
Carter|Charlie|Mr.|Y|34411|15
Carter|Eddie|Dr.|N|226103|16
Carter|Johnny|Dr.|NULL|95699|15
Carter|Olga|Mrs.|Y|84776|15
Cavazos|Louise|Ms.|Y|213729|15
Chacon|Cathy|Miss|N|81284|15
Chandler|Lisa|Dr.|N|102461|15
Chase|Daniel|Dr.|N|129179|16
Cheek|Rebecca|Mrs.|N|82193|15
Chesser|Constance|Dr.|N|47117|15
Christenson|Allison|Miss|N|152842|16
Clark|Charles|Dr.|N|194512|15
Clark|Elisa|Mrs.|N|234445|16
Clark|Elizabeth|Dr.|Y|58831|15
Clark|Rosemary|Miss|N|31542|15
Cochran|Dennis|Sir|Y|94375|15
Coker|John|Mr.|Y|2730|15
Cole|June|Miss|Y|206225|15
Coleman|Evan|Dr.|N|139495|15
Coleman|Nancy|Ms.|Y|39446|15
Collins|Marguerite|Mrs.|N|202352|15
Colson|Darcy|Miss|N|18961|15
Conrad|Jason|Mr.|Y|166289|15
Cook|NULL|Sir|NULL|81755|15
Cook|John|Mr.|Y|237195|15
Cope|Felicia|Dr.|Y|195003|15
Corwin|Rene|Sir|N|98796|15
Cota|Jorge|Mr.|Y|3324|16
Coughlin|Valerie|Ms.|N|161399|15
Cruz|Donna|Ms.|Y|180864|15
Dalton|Dorthea|Dr.|N|37698|15
David|Timothy|Mr.|Y|20342|15
Davies|Ruben|Sir|N|232060|15
Davis|Donald|Dr.|N|50931|15
Davis|Maegan|Miss|N|59792|15
Davis|Ronald|Sir|N|213719|16
Davis|Sandra|Ms.|N|141249|15
Davison|Jeffrey|Mr.|N|81413|15
Day|Arturo|Mr.|N|25501|15
Dean|Latonya|Dr.|N|45372|15
Delagarza|John|Mr.|Y|62980|15
Delgado|Marilyn|Ms.|Y|201044|15
Delong|Marybelle|Mrs.|N|17565|15
Dempsey|Kristy|Mrs.|N|148060|15
Dennis|Lee|Sir|Y|119489|15
Diaz|Brian|Mr.|N|73210|16
Dickerson|Bessie|Mrs.|Y|196201|16
Dietrich|Tammy|Dr.|Y|114650|15
Dorsey|Lisa|Dr.|Y|5587|15
Dube|Ray|Mr.|N|233056|15
Dumont|Jason|Dr.|N|6941|15
Eason|Mario|Sir|Y|174089|16
Edgar|Lisa|Mrs.|Y|37606|15
Edwards|Anthony|Ms.|N|31471|16
Elliot|Mark|Mr.|N|35782|15
Emerson|Melissa|Mrs.|N|156199|15
Epps|William|Mr.|Y|43680|15
Estes|Elizabeth|Mrs.|N|176718|15
Ferrell|Roy|Mr.|N|139997|15
Ferris|William|Sir|Y|12536|15
Fields|Philomena|Dr.|Y|217374|15
Fife|Terry|Dr.|Y|81012|16
Fisher|Christopher|Sir|N|45467|15
Fitzgerald|Thomas|Mr.|N|2698|16
Fletcher|Russell|Sir|N|42951|15
Flores|Elizabeth|Ms.|Y|214688|16
Forbes|Robert|Mr.|N|175736|15
Forrest|Nicholas|Mr.|N|230893|16
Fuqua|Harvey|Mr.|Y|130609|16
Galvin|Josephine|Dr.|Y|235213|16
Garcia|Dalton|Mr.|N|82145|15
