c_last_name|c_first_name|ca_city|bought_city|ss_ticket_number|amt|profit
NULL|NULL|Antioch|Belmont|149232|2866.05|-12526.96
NULL|NULL|Ashland|Philadelphia|155902|3488.72|-10012.54
NULL|NULL|Bayview|Springdale|162862|3484.09|-18573.24
NULL|NULL|Belleview|Nichols|59976|11312.97|-15948.66
NULL|NULL|Blair|Hamilton|206536|0.00|-5402.20
NULL|NULL|Brownsville|Bunker Hill|159429|580.70|-7276.98
NULL|NULL|Brownsville|Mechanicsburg|60829|0.00|-15113.17
NULL|NULL|Brunswick|Mountain View|123733|1221.12|-12504.30
NULL|NULL|Buckingham|Siloam|93903|391.95|-1524.54
NULL|NULL|Bunker Hill|Antioch|199878|420.25|-6547.77
NULL|NULL|Bunker Hill|Greenfield|127182|157.73|2349.56
NULL|NULL|Bunker Hill|Hopewell|53497|5228.38|-1206.03
NULL|NULL|Cedar Grove|Jackson|81259|82.34|-7526.45
NULL|NULL|Centerville|Bethel|210801|0.00|-13358.77
NULL|NULL|Centerville|Mount Olive|66053|977.46|-5915.50
NULL|NULL|Centerville|Mount Zion|83650|4983.66|-6892.67
NULL|NULL|Centerville|Providence|62604|3314.18|-7542.60
NULL|NULL|Clifton|Mount Vernon|95501|2510.20|-12723.39
NULL|NULL|Concord|Stringtown|97052|1531.39|-5782.82
NULL|NULL|Cordova|Crossroads|85385|1071.51|-12566.80
NULL|NULL|Crossroads|Buena Vista|221999|1100.11|-11773.77
NULL|NULL|Crossroads|Unionville|58203|1676.00|-4346.63
NULL|NULL|Deerfield|Riverside|226924|4999.94|-16878.70
NULL|NULL|Derby|Riverdale|140237|1791.57|-4612.27
NULL|NULL|Edgewood|Hopewell|167421|3236.58|-15584.00
NULL|NULL|Empire|Five Forks|43396|602.35|-16499.02
NULL|NULL|Empire|Midway|165554|3328.93|-14501.15
NULL|NULL|Enterprise|Highland Park|147688|2717.01|-13093.44
NULL|NULL|Enterprise|Red Hill|115200|2273.67|-15393.78
