c_last_name|c_first_name|substring|ss_ticket_number|amt|profit
Aaron|Guy|Midway|30633|9.59|-83.49
Abbott|James|Midway|19069|37.24|-94.94
Abbott|Robert|Midway|108183|27.62|-17.02
Abell|Tonya|Midway|11487|40.71|-102.98
Abernathy|Verda|Midway|91981|96.16|-202.69
Abner|Eula|Midway|120315|33.94|-22.59
Abney|Anthony|Fairview|211863|1.29|19.19
Abraham|Michael|Fairview|101213|16.83|-40.88
Abraham|Robert|Midway|172751|29.50|-22.73
Abraham|Travis|Midway|68579|50.82|-94.89
Abrams|Fannie|Midway|177397|77.44|-135.50
Abreu|Jeffrey|Midway|188029|13.93|-126.45
Acevedo|David|Midway|124592|28.33|-24.77
Acevedo|Ellen|Midway|48390|0.00|-25.77
Acevedo|Grace|Midway|103952|5.39|-123.50
Ackerman|Jeffrey|Midway|19260|13.61|-93.44
Ackerman|Jeffrey|Midway|198943|10.02|-54.94
Adair|Evan|Fairview|117449|0.00|-126.65
Adam|Paul|Fairview|161844|36.48|-133.26
Adams|Beth|Midway|73934|48.58|-208.69
Adams|Betty|Midway|83966|76.56|-101.39
Adams|Dan|Midway|57271|0.00|-77.27
Adams|George|Midway|162011|2.65|-76.66
Adams|John|Midway|229336|0.00|-133.46
Adams|Michael|Midway|37967|3.63|-49.17
Adams|Roy|Midway|164196|0.00|-25.57
Adams|Steven|Midway|111877|0.71|-80.11
Adams|Tony|Midway|184799|17.99|-137.07
Adkins|Evelyn|Midway|210368|10.31|-86.75
Adkins|Kathleen|Midway|58726|0.00|-19.93
Adler|Charles|Midway|22973|10.15|-81.35
Adler|Julian|Midway|221567|2.10|-38.69
Agee|Anthony|Midway|90993|22.16|-93.92
Agee|Dora|Midway|217452|39.04|-143.41
Agnew|Elizabeth|Midway|92724|9.49|-27.56
Aguayo|Edwin|Midway|45528|84.81|-111.05
Aguayo|John|Fairview|156381|31.15|-67.62
Aguilar|Roxane|Midway|6855|0.00|-129.11
Aguilera|Gladys|Midway|30412|22.21|-139.92
Ahern|Christine|Midway|872|92.93|-73.85
Ainsworth|John|Midway|12751|15.93|-100.54
Akin|Sharon|Midway|11249|34.01|-86.35
Alarcon|George|Midway|166192|0.01|-31.42
Alarcon|Hazel|Midway|124475|12.53|-130.24
Alarcon|Victoria|Midway|228661|15.29|-125.28
Albert|Jaime|Midway|152168|35.61|-127.29
Albert|Jeffrey|Midway|238250|3.41|-75.75
Albright|Helen|Midway|59549|0.00|-109.88
Aldrich|Evelyn|Midway|91580|15.96|-112.73
Aldridge|Nathanial|Midway|20206|24.26|-76.07
Alexander|Annie|Midway|72228|24.31|-68.78
Alexander|Eddie|Midway|69977|40.92|-237.80
Alexander|Kristen|Midway|55155|10.64|-83.17
Alexander|Victor|Midway|184075|25.50|-193.97
Alfonso|Paul|Midway|224079|22.36|-52.97
Alford|Roberta|Midway|15770|2.97|-146.68
Ali|Henry|Midway|72418|0.10|-120.51
Alicea|Ramona|Midway|142193|13.13|-61.39
Allard|John|Midway|20098|21.14|-53.44
Allen|Anna|Midway|175145|17.56|-106.87
Allen|Bill|Fairview|144210|0.67|-75.81
Allen|Colleen|Midway|33031|21.92|-145.54
Allen|David|Fairview|46354|17.32|-1.52
Allen|Dianna|Midway|72135|7.63|-54.95
Allen|Earnestine|Midway|159660|69.68|-70.43
Allen|Florence|Midway|6542|76.10|-261.17
Allen|Fred|Midway|122737|20.61|-152.96
Allen|Janice|Midway|199800|41.85|-86.01
Allen|Jason|Midway|111015|2.97|10.20
Allen|John|Fairview|207020|39.50|-206.78
Allen|Katherine|Midway|43827|13.76|-28.42
Allen|Lena|Midway|187155|3.83|-65.50
Allen|Leslie|Midway|11150|44.57|-74.42
Allen|Marcia|Midway|190763|3.98|-33.32
Allen|Michael|Midway|143187|3.73|-134.34
Allen|Michael|Midway|43014|28.28|-72.09
Allen|Rocky|Midway|33844|41.57|-140.71
Allen|Ronald|Midway|80879|65.03|-115.97
Allen|Sarah|Midway|148147|47.20|-127.08
Allen|Teresita|Midway|2008|7.98|-64.00
Allison|Norma|Midway|82553|0.26|-86.55
Allison|Peggie|Midway|146780|12.95|-78.20
Allred|Deborah|Midway|193501|0.00|-102.07
Almeida|David|Fairview|168589|69.09|-75.87
Alonso|Anthony|Midway|208514|9.89|-21.77
Alonzo|Troy|Fairview|54936|0.51|-36.01
Alston|Jenny|Midway|127544|78.58|-118.76
Alston|Ryan|Midway|214797|47.07|-42.57
Altman|Alfred|Fairview|140764|19.87|-159.18
Alvarado|Richard|Fairview|81704|42.06|-175.84
Alvarez|Ana|Midway|225521|13.77|-58.21
Alvarez|Eric|Midway|226554|91.45|-70.75
Alvarez|Jennifer|Midway|119831|105.56|-111.13
Amador|Wilbur|Midway|225632|0.20|-16.71
Amaya|Christina|Midway|27102|19.09|-100.03
Ambrose|Robert|Midway|91578|73.15|-51.60
Ames|Perry|Fairview|5862|46.75|-134.39
Amundson|Ernest|Midway|228272|3.69|-19.28
Anders|Marian|Midway|223631|4.33|-103.09
Anders|Michele|Midway|203891|44.41|-127.41
