c_last_name|c_first_name|s_store_name|paid
Ault|Donald|ese|550.85
Barber|Stephanie|cally|267.30
Bartlett|Vernon|n st|2907.54
Beck|Sherry|able|4883.40
Bertrand|Richard|cally|2589.15
Borders|Cindy|cally|530.40
Bradley|Dolores|ese|92.76
Brown|Jim|ese|3636.78
Burrell|Ofelia|ought|9241.22
Campbell|Elijah|cally|3608.76
Cook|Brendon|n st|3498.30
Davenport|Rigoberto|bar|509.04
Dietz|Russell|ese|2422.42
Dolan|Rosie|cally|2456.30
Ellis|Stephen|eing|994.99
Flores|William|n st|7891.02
Hall|Karen|ese|819.00
Harris|Stephen|cally|611.13
Hawkins|Delores|ought|554.95
Hernandez|Dean|able|139.48
Jones|Juanita|ought|101.84
Knapp|Irma|cally|719.60
Lugo|Robert|bar|9141.84
Martin|Sunshine|ese|628.84
Meehan|Jane|cally|229.95
Nunez|Margaret|bar|147.29
Ortega|Emilie|ought|3053.12
Rivera|Donna|cally|2966.95
Rosas|Desirae|anti|1147.93
Shorter|Robert|eing|1670.84
Sommer|Frederick|bar|271.59
Stiltner|Latina|n st|261.10
Sutherland|Joyce|cally|5268.48
Swift|Barbara|ese|623.04
Terrell|Sharlene|n st|462.48
Trout|Thomas|bar|2623.30
Utley|Sara|cally|1521.60
William|David|able|132.65
Williams|Horace|eing|429.96
Zapata|Teresa|cally|3352.86
