c_customer_id|c_salutation|c_first_name|c_last_name|c_preferred_cust_flag|c_birth_day|c_birth_month|c_birth_year|c_birth_country|c_login|c_email_address|c_last_review_date_sk|ctr_total_return
AAAAAAAAAAAGJBAA|Dr.|Allison|Peebles|Y|5|8|1986|KOREA, REPUBLIC OF|NULL|Allison.Peebles@PHcKagxdm.edu|2452503|3431.96
AAAAAAAAAAAMIBAA|Sir|James|Powers|Y|15|5|1979|CZECH REPUBLIC|NULL|James.Powers@qSjAG4Js1o.edu|2452519|2603.92
AAAAAAAAAAAPLBAA|Dr.|Kyle|Staples|N|21|12|1951|NORFOLK ISLAND|NULL|Kyle.Staples@T7deND41.org|2452476|7302.96
AAAAAAAAAABDIAAA|Dr.|George|Bowers|Y|20|8|1983|WESTERN SAHARA|NULL|George.Bowers@dxyQJx.org|2452449|1771.00
AAAAAAAAAABFKBAA|Miss|Linda|Beavers|N|4|5|1934|DJIBOUTI|NULL|Linda.Beavers@6sA0ZRlrYyM.org|2452312|1630.20
AAAAAAAAAACFGBAA|Ms.|Mira|Fox|N|14|4|1963|GUAM|NULL|Mira.Fox@1BoRJQ94t4zsJ.com|2452399|2867.18
AAAAAAAAAACJNAAA|Dr.|Fern|Farr|N|24|1|1945|TUVALU|NULL|Fern.Farr@egxlLVk39z.edu|2452627|2015.10
AAAAAAAAAADKMAAA|Dr.|Paul|Donnelly|N|17|4|1938|AZERBAIJAN|NULL|Paul.Donnelly@5bTMN8NaIQ9v41U94N.org|2452412|3913.69
AAAAAAAAAADLJBAA|Dr.|Nannie|Hernandez|N|15|1|1968|PITCAIRN|NULL|Nannie.Hernandez@M1FyFzdxVa1.org|2452390|3986.64
AAAAAAAAAAEOOAAA|Dr.|Jesus|Frazier|N|1|6|1950|SOLOMON ISLANDS|NULL|Jesus.Frazier@1VdMQCklrf.edu|2452406|2093.19
AAAAAAAAAAFCNBAA|Dr.|Shawn|Lane|Y|5|8|1942|SLOVENIA|NULL|Shawn.Lane@qtBxD024vd.edu|2452582|2265.96
AAAAAAAAAAFMNBAA|Mr.|Frederick|Quinn|N|20|1|1990|ESTONIA|NULL|Frederick.Quinn@ZPmZ5.com|2452291|2982.72
AAAAAAAAAAFPCBAA|Mr.|George|Yanez|Y|28|1|1980|LIBERIA|NULL|George.Yanez@qz9s1ZJgk4J.org|2452353|4128.73
AAAAAAAAAAGBLAAA|Sir|Joshua|Graham|N|29|9|1976|GAMBIA|NULL|Joshua.Graham@fdeA0ran.com|2452616|1643.04
