Call_Center|Call_Center_Name|Manager|Returns_Loss
AAAAAAAAKBAAAAAA|Mid Atlantic_2|Rene Sampson|13044.47
AAAAAAAADBAAAAAA|Pacific Northwest_1|Roderick Walls|12131.84
AAAAAAAAEBAAAAAA|California_1|Jason Brito|8086.75
AAAAAAAAJBAAAAAA|NY Metro_2|Richard James|7253.32
AAAAAAAAABAAAAAA|North Midwest_1|Timothy Bourgeois|7080.23
AAAAAAAAGBAAAAAA|Hawaii/Alaska_1|Travis Wilson|7069.54
AAAAAAAAEAAAAAAA|North Midwest|Larry Mccray|6539.72
AAAAAAAAMBAAAAAA|North Midwest_2|Ryan Burchett|5782.07
AAAAAAAAKAAAAAAA|Hawaii/Alaska|Gregory Altman|4041.71
AAAAAAAADBAAAAAA|Pacific Northwest_1|Roderick Walls|3988.26
AAAAAAAAHAAAAAAA|Pacific Northwest|Alden Snyder|3874.71
AAAAAAAAEBAAAAAA|California_1|Jason Brito|3600.88
AAAAAAAAOAAAAAAA|Mid Atlantic_1|Clyde Scott|3375.79
AAAAAAAAABAAAAAA|North Midwest_1|Timothy Bourgeois|2992.04
AAAAAAAABAAAAAAA|NY Metro|Bob Belcher|2982.57
AAAAAAAAEAAAAAAA|North Midwest|Larry Mccray|2780.50
AAAAAAAAOAAAAAAA|Mid Atlantic_1|Clyde Scott|2737.39
AAAAAAAAKAAAAAAA|Hawaii/Alaska|Gregory Altman|2588.90
AAAAAAAANAAAAAAA|NY Metro_1|Jack Little|2212.43
AAAAAAAABAAAAAAA|NY Metro|Bob Belcher|1959.45
AAAAAAAAKBAAAAAA|Mid Atlantic_2|Rene Sampson|1732.63
AAAAAAAAHAAAAAAA|Pacific Northwest|Alden Snyder|1600.80
AAAAAAAAMBAAAAAA|North Midwest_2|Ryan Burchett|1491.32
AAAAAAAAIAAAAAAA|California|Wayne Ray|1468.66
AAAAAAAACAAAAAAA|Mid Atlantic|Felipe Perkins|1462.36
AAAAAAAAGBAAAAAA|Hawaii/Alaska_1|Travis Wilson|1455.30
AAAAAAAAJBAAAAAA|NY Metro_2|Richard James|1265.74
AAAAAAAACAAAAAAA|Mid Atlantic|Felipe Perkins|1210.54
AAAAAAAAIAAAAAAA|California|Wayne Ray|602.10
AAAAAAAANAAAAAAA|NY Metro_1|Jack Little|565.26


