c_last_name|c_first_name|ca_city|bought_city|ss_ticket_number|extended_price|extended_tax|list_price
NULL|NULL|Wilson|Oak Hill|3664|25003.43|1250.89|48765.06
NULL|Myra|Friendship|Kimball|8912|17089.06|511.34|29505.97
NULL|NULL|Liberty|Jackson|10456|37577.46|1866.97|55425.27
NULL|NULL|Riley|Valley View|13623|32625.70|1055.83|49976.13
NULL|Stephen|Lebanon|Jackson|15229|9421.73|491.99|16499.80
NULL|Phil|Clifton|Shady Grove|18040|17296.14|704.50|28940.37
NULL|Elnora|Marion|Oakwood|19843|37520.81|922.45|55182.61
NULL|Ronni|Pleasant Valley|Shiloh|20072|44455.48|1680.16|74066.84
NULL|NULL|Woodlawn|Oak Grove|20888|25951.17|1011.73|43630.70
NULL|NULL|Sleepy Hollow|Scottsville|22333|36402.23|1265.18|69973.11
NULL|Rick|Oak Hill|Ryan|24743|21353.14|793.75|51202.90
NULL|Adrienne|Clinton|Springfield|26836|11914.70|444.13|28043.39
NULL|Stephen|Union|Ashland|28416|24416.52|773.60|34419.60
NULL|NULL|Maple Grove|Salem|28845|12233.86|308.61|32091.79
NULL|NULL|Ashland|Buena Vista|29046|10530.09|341.07|20482.87
NULL|Adrienne|Clinton|Cottonwood|29686|37257.37|1700.16|64234.54
NULL|NULL|Valley View|Florence|30224|40103.94|1211.47|52903.15
NULL|Charles|Globe|Bloomingdale|39421|15876.15|417.85|29752.41
NULL|NULL|Five Points|Stafford|46831|19364.57|874.72|35445.98
NULL|NULL|Mount Pleasant|Wildwood|47895|28750.15|1285.57|41008.81
NULL|NULL|Wilson|Bunker Hill|48170|13649.72|391.85|25027.55
NULL|NULL|Jamestown|Crossroads|48591|14952.14|541.59|30299.53
NULL|NULL|Wildwood|Riverside|51027|26012.80|1783.31|45906.92
NULL|NULL|Lebanon|Oakwood|51792|16678.87|887.48|38786.35
NULL|Susan|Wright|Oak Hill|53658|11432.43|393.47|18755.53
NULL|Jefferson|Union|Bethel|58316|14497.88|1023.02|26346.25
NULL|Justin|Edgewood|Mount Pleasant|62401|9342.77|410.26|18479.25
NULL|NULL|Liberty|Bethel|64510|19933.26|1086.84|38306.37
NULL|David|Lincoln|Green Acres|66666|32862.85|925.22|64465.05
NULL|NULL|Oak Ridge|Deerfield|67586|12893.44|318.13|23643.38
NULL|Alice|Georgetown|Greenfield|68055|36571.20|1890.16|55194.98
NULL|Douglas|Oakwood|Glenwood|71755|20585.51|951.11|60538.12
NULL|NULL|Page|Belmont|76454|21389.03|686.93|40954.88
NULL|Andrew|Woodville|Winslow|84450|13718.44|757.17|41755.61
NULL|Douglas|Pleasant Grove|Mount Pleasant|86392|18935.17|925.10|45733.64
NULL|Theresa|Unionville|Mountain View|90590|18377.21|620.93|35192.96
NULL|NULL|Glenwood|Riverside|100655|27479.50|977.77|53116.42
NULL|NULL|Glenwood|Pleasant Grove|109479|18152.76|493.52|42720.10
NULL|Angelia|Cedar Grove|Hillcrest|113737|12809.77|585.36|31662.77
NULL|George|Woodlawn|Spring Hill|125456|25115.68|1194.57|52510.58
NULL|Martha|Woodland|Spring Hill|125739|21311.69|1140.61|34017.17
NULL|Ramon|Salem|Lenox|128782|11632.09|683.78|21654.15
NULL|John|Crossroads|Hopewell|131505|22075.16|772.60|46961.99
NULL|NULL|Oakland|Nichols|138161|11993.01|423.74|29245.72
NULL|Arthur|Green Acres|Summit|139708|18488.84|918.96|35392.32
NULL|Heath|Jackson|Shady Grove|139887|10906.04|544.65|28742.89
NULL|NULL|Unionville|Union|144783|33944.72|1624.08|46757.57
NULL|Henry|Farmington|Union Hill|145722|20560.82|762.14|39561.17
NULL|NULL|Belmont|Buena Vista|146618|12020.06|378.38|28199.46
NULL|Adrian|Roxbury|Pleasant Grove|150882|13913.59|912.97|32220.74
NULL|Kathy|Arlington|Riverdale|152259|11408.90|431.38|24071.70
NULL|NULL|Pleasant Hill|Greenfield|163877|14879.19|616.81|33453.45
NULL|Timothy|Glenwood|Wilson|168983|7423.95|214.88|21844.99
NULL|Rachael|Gravel Hill|Oak Grove|172575|35293.90|1329.54|50220.04
NULL|NULL|Woodlawn|Buena Vista|175683|27087.94|652.73|55689.56
NULL|Theresa|Unionville|Mountain View|177314|45434.64|1788.10|64859.99
NULL|Stephanie|Hardy|Five Forks|179836|12358.33|713.54|24720.53
NULL|NULL|Maple Grove|Hopewell|181283|20585.47|945.54|58540.05
NULL|Margret|Jackson|Bunker Hill|181804|32606.15|1709.04|50692.08
NULL|Thomas|Texas|Jamestown|185561|18897.43|409.63|39104.28
NULL|NULL|Five Points|Fox|188550|19527.97|296.33|38483.13
NULL|NULL|Five Points|Lakeside|189759|14579.38|670.56|21304.57
NULL|Sharon|Lakeview|Summit|196652|43266.27|1688.43|76434.30
NULL|John|Gum Springs|Midway|202622|26112.03|903.11|49999.75
NULL|NULL|Oak Grove|Pleasant Valley|215247|10740.20|610.06|19313.94
NULL|NULL|Hamilton|Forest Hills|218776|22822.92|884.66|42559.53
NULL|NULL|Oakwood|Clinton|218781|20183.47|869.51|43858.45
NULL|Joshua|Oak Ridge|Sulphur Springs|220045|27035.66|1531.36|52670.76
NULL|Jennifer|Valley View|Arlington|227114|19755.36|674.30|28406.59
NULL|NULL|Glendale|Mount Vernon|231861|18475.92|694.12|33988.12
NULL|NULL|Sunnyside|Lakeview|236446|26936.35|569.30|47517.79
NULL|Wesley|King|Stewart|245098|22344.40|634.66|40361.42
NULL|NULL|Buena Vista|Union|250698|26218.47|1806.82|42768.71
NULL|NULL|Brownsville|Jamestown|254512|7376.20|271.36|25192.98
NULL|NULL|Florence|Hamilton|255884|29611.91|1282.07|44404.01
NULL|Emily|Marion|Deerfield|255995|10946.95|566.72|28932.01
NULL|NULL|Five Points|Spring Hill|256287|18009.18|415.55|67688.18
NULL|NULL|Salem|Lakewood|259962|19398.79|1105.32|52793.06
NULL|Robert|Pleasant Valley|Belmont|260492|27537.95|943.83|50252.84
NULL|Rob|Dewey|Stringtown|263578|7171.19|273.92|24239.83
NULL|Justin|Friendship|Antioch|265848|15902.90|591.64|23587.94
NULL|Maureen|Unionville|Guthrie|266931|22925.58|955.02|63440.23
NULL|NULL|Warwick|Highland|280839|20002.76|423.73|25552.69
NULL|NULL|Greenwood|Lincoln|282002|36868.29|1687.86|63580.90
NULL|NULL|Bridgeport|Forest Hills|294448|25542.73|1071.89|66799.86
NULL|NULL|Clinton|Riverside|298858|8549.88|607.56|17003.05
NULL|Linda|Allentown|Concord|301167|19962.57|273.55|31224.19
NULL|Sandra|Highland|Lebanon|302484|13101.93|425.35|26337.42
NULL|NULL|Friendship|Salem|302521|43150.93|1616.13|70943.48
NULL|NULL|Greenfield|Woodland|302815|13493.05|730.42|44155.13
NULL|NULL|Pine Grove|Centerville|309586|19046.95|1238.89|43655.20
NULL|NULL|Shady Grove|Bunker Hill|311358|13816.55|510.53|33331.37
NULL|Heather|Mount Vernon|Lakeville|312903|5521.12|168.30|13882.95
NULL|Constance|River Oaks|New Hope|314180|17342.86|501.55|29216.02
NULL|NULL|Jamestown|Rolling Hills|336511|12291.65|612.84|27765.51
NULL|NULL|Summit|Fairfield|344359|25705.63|1119.02|56193.94
NULL|NULL|Newport|Riverdale|349017|27731.72|1245.88|50616.70
NULL|James|Glendale|Woodland|350301|14374.26|931.73|35342.21
NULL|NULL|Mountain View|Riverdale|351577|23270.74|1227.24|52638.07
NULL|NULL|Buena Vista|Farmington|362265|13153.38|758.73|27947.64
