c_custkey|c_name|revenue|c_acctbal|n_name|c_address|c_phone|c_comment
679|Customer#000000679|378211.325200|1394.440000|IRAN|jhLZlG1fRiSE0 wDLOCguVB96dH6a5|20-146-696-9508|ely pending frays boost carefully
1201|Customer#000001201|374331.534000|5165.390000|IRAN|gLo85h4Cst5ckn40ZKR6403KjW26YCWAFZsq d|20-825-400-1187|lyly pending packages. special requests sleep-- platelets use blithely after the instructions. sometimes even id
422|Customer#000000422|366451.012600|-272.140000|INDONESIA|rtds1qwEinDWYhyIbRusRgXBDxGJraP,C,S zDwA|19-299-247-2444|eposits; furiously ironic packages accordi
334|Customer#000000334|360370.755000|-405.910000|EGYPT|dbdZdUyWQaZX7DoCO|14-947-291-5002|fully busily special ideas. carefully final excuses lose slyly carefully express accounts. even, ironic platelets ar
805|Customer#000000805|359448.903600|511.690000|IRAN|woguVtOjwvC8LLtPRALISNwAOFRf70Pfqk|20-732-989-5653|busy sentiments. pending packages haggle among the express requests-- slyly regular excuses above the slyl
932|Customer#000000932|341608.275300|6553.370000|JORDAN|kdRqB0ezhkUePSc|23-300-708-7927|packages boost slyly along the furiously express foxes. ev
853|Customer#000000853|341236.624600|-444.730000|BRAZIL|7,rRbAvqK4hSqm,ljEDolyjRp8Mu44xSTG|12-869-161-3468|yly special deposits wake alongside of
872|Customer#000000872|338328.780800|-858.610000|PERU|xfbTIe1pgWq0jqdm7gQP6iXqcs2RcSk|27-357-139-7164| detect. packages wake slyly express foxes. even deposits ru
737|Customer#000000737|338185.336500|2501.740000|CHINA|eNHkZHYWXIpf8Ct,F2Aej BwxkZ6LTW|28-658-938-1102|ding to the final platelets. regular packages against the carefully final ideas hag
1118|Customer#000001118|319875.728000|4130.180000|IRAQ|bjK0newm53R2CoNAtvQsIqh|21-583-715-8627|y regular requests above the blithely ironic accounts use slyly bold packages: regular pinto beans eat carefully spe
223|Customer#000000223|319564.275000|7476.200000|SAUDI ARABIA|MyQxUcG0P QCetmG00GlF|30-193-643-1517|al, regular requests run furiously blithely silent packages. blithely ironic accounts across the furious
808|Customer#000000808|314774.616700|5561.930000|ROMANIA|9Y4G8hokyDQJOlcCUe4OypX smFlME6d Kr|29-531-319-7726| unusual deposits. furiously even packages against the furiously even ac
478|Customer#000000478|299651.802600|-210.400000|ARGENTINA|PFtAWWSniG43yWAgtjFPN0DrhyMCDIm|11-655-291-2694|o the foxes. ironic requests sleep. c
1441|Customer#000001441|294705.393500|9465.150000|UNITED KINGDOM|y,221QWUv0CvgCVkRwsrOUpRshWpcjKkrHu|33-681-334-4499|nts haggle quietly quickly final accounts. slyly regular accounts among the sl
1478|Customer#000001478|294431.917800|9701.540000|GERMANY|vTjnwinnB9YeA1VxKYoQELaZJm,HW|17-420-484-5959|ng the furiously bold foxes. even notornis above the unusual 
211|Customer#000000211|287905.636800|4198.720000|JORDAN|79JF5cssWlB3ME|23-965-335-9471|furiously regular foxes boost fluffily special ideas. carefully regular dependencies are. slyly ironic 
197|Customer#000000197|283190.480700|9860.220000|ARGENTINA|7M5Az MBdx4Ey1XTn|11-107-312-6585|ickly final accounts cajole. furiously re
1030|Customer#000001030|282557.356600|6359.270000|INDIA|4ByZpJpVJRD|18-759-877-1870|ding to the slyly unusual accounts. even requests among the evenly
1049|Customer#000001049|281134.111700|8747.990000|INDONESIA|Q1ZcOmJjQi2VKeIk|19-499-258-2851|uriously according to the furiously silent packages
1094|Customer#000001094|274877.444000|2544.490000|BRAZIL|dls,MNN7EbF3GYrY3eRwSeOBZYd5o,cg|12-234-721-9871|tes serve blithely quickly pending foxes. express, quick accounts
