c_custkey|c_name|revenue|c_acctbal|n_name|c_address|c_phone|c_comment
57040|Customer#000057040|734235.2455|632.87|JAPAN|nICtsILWBB|22-895-641-3466|sits. slyly regular requests sleep alongside of the regular inst
143347|Customer#000143347|721002.6948|2557.47|EGYPT|,Q9Ml3w0gvX|14-742-935-3718|ggle carefully enticing requests. final deposits use bold, bold pinto beans. ironic, idle re
60838|Customer#000060838|679127.3077|2454.77|BRAZIL|VWmQhWweqj5hFpcvhGFBeOY9hJ4m|12-913-494-9813| need to boost against the slyly regular account
101998|Customer#000101998|637029.5667|3790.89|UNITED KINGDOM|0,ORojfDdyMca2E2H|33-593-865-6378|ress foxes wake slyly after the bold excuses. ironic platelets are furiously carefully bold theodolites
125341|Customer#000125341|633508.086|4983.51|GERMANY|9YRcnoUPOM7Sa8xymhsDHdQg|17-582-695-5962|arefully even depths. blithely even excuses sleep furiously. foxes use except the dependencies. ca
25501|Customer#000025501|620269.7849|7725.04|ETHIOPIA|sr4VVVe3xCJQ2oo2QEhi19D,pXqo6kOGaSn2|15-874-808-6793|he pending instructions wake carefully at the pinto beans. regular, final instructions along the slyly fina
115831|Customer#000115831|596423.8672|5098.1|FRANCE|AlMpPnmtGrOFrDMUs5VLo EIA,Cg,Rw5TBuBoKiO|16-715-386-3788|l somas sleep. furiously final deposits wake blithely regular pinto b
84223|Customer#000084223|594998.0239|528.65|UNITED KINGDOM|Eq51o UpQ4RBr  fYTdrZApDsPV4pQyuPq|33-442-824-8191| slyly final deposits haggle regular, pending dependencies. pending escapades wake 
54289|Customer#000054289|585603.3918|5583.02|IRAN|x3ouCpz6,pRNVhajr0CCQG1|20-834-292-4707|ely special foxes are quickly finally ironic p
39922|Customer#000039922|584878.1134|7321.11|GERMANY|2KtWzW,FYkhdWBfobp6SFXWYKjvU9|17-147-757-8036|y final requests. furiously final foxes cajole blithely special platelets. f
6226|Customer#000006226|576783.7606|2230.09|UNITED KINGDOM|TKbxS1dbkGMtaa,KOi26lbip4P0tPbWK0|33-657-701-3391|ending platelets along the express deposits cajole carefully final 
922|Customer#000000922|576767.5333|3869.25|GERMANY|rsR9lRxyTdHbDOVt8nYbwjK5vAWH9sB|17-945-916-9648|luffily fluffy deposits. packages c
147946|Customer#000147946|576455.132|2030.13|ALGERIA|Jqdt1kHAJtuTqHQK,B7 3tJh|10-886-956-3143|ithely ironic deposits haggle blithely ironic requests. quickly regu
115640|Customer#000115640|569341.1933|6436.1|ARGENTINA|6yKLIRRAirUmBjKNO6Z3|11-411-543-4901|ost slyly along the patterns; pinto be
73606|Customer#000073606|568656.8578|1785.67|JAPAN|vx9,7ACVtoKnLcoAHGNYDF|22-437-653-6966|he furiously regular ideas. slowly
110246|Customer#000110246|566842.9815|7763.35|VIETNAM|UgsLFL3rendATzcHi|31-943-426-9837|egular deposits serve blithely above the fl
142549|Customer#000142549|563537.2368|5085.99|INDONESIA|pJAmChWXct HNjPzgoBUOgAHduwwIR|19-955-562-2398|sleep pending courts. ironic deposits against the carefully unusual platelets cajole carefully express accounts.
146149|Customer#000146149|557254.9865|1791.55|ROMANIA| STLwtlaB6|29-744-164-6487| of the slyly silent accounts. quickly final accounts across the 
52528|Customer#000052528|556397.3509|551.79|ARGENTINA|elsyt8c9Z,7ch|11-208-192-3205| deposits hinder. blithely pending asymptotes breach slyly regular re
23431|Customer#000023431|554269.536|3381.86|ROMANIA|kKI5,CJAJQjQRQtOdCiFQ|29-915-458-2654|nusual, even instructions: furiously stealthy n
