"Abbott                        "|"Harriet             "|"Ms.       "|f|195008|16
"Acevedo                       "|"Grace               "|"Ms.       "|t|178312|15
"Acosta                        "|"Victor              "|"Mr.       "|t|156807|15
"Adams                         "|"Jerry               "|"Sir       "|t|216653|15
"Adams                         "|"Sandra              "|"Miss      "|f|166723|16
"Adams                         "|"Willie              "|"Sir       "|t|88285|16
"Adkins                        "|"Alica               "|"Mrs.      "|t|131755|15
"Akers                         "|"Susan               "|"Miss      "|f|239968|15
"Albert                        "|"Jaime               "|"Mr.       "|t|152168|15
"Alexander                     "|"Annie               "|"Dr.       "|f|72228|16
"Alexander                     "|"April               "|"Miss      "|t|180849|16
"Alford                        "|"Deborah             "|"Miss      "|t|97678|15
"Allen                         "|"David               "|"Sir       "|t|132301|15
"Allen                         "|"Ian                 "|"Dr.       "|t|46266|15
"Allen                         "|"Kenneth             "|"Sir       "|t|89944|16
"Allen                         "|"Marty               "|"Sir       "|t|63646|15
"Alvarado                      "|"Susan               "|"Ms.       "|t|35570|15
"Alves                         "|"Sam                 "|"Dr.       "|t|129660|16
"Anderson                      "|"Cindy               "|"Miss      "|f|90504|16
"Anderson                      "|"David               "|"Dr.       "|f|31599|16
"Anderson                      "|"Eloise              "|"Mrs.      "|f|59994|16
"Anderson                      "|"Georgia             "|"Dr.       "|t|43333|15
"Anderson                      "|"Marta               "|"Dr.       "|t|176320|16
"Anderson                      "|"Martha              "|"Mrs.      "|t|74295|16
"Anderson                      "|"Norma               "|"Miss      "|t|132983|16
"Anderson                      "|"Rosemarie           "|"Mrs.      "|t|178489|16
"Anderson                      "|"Stephanie           "|"Miss      "|t|87394|15
"Anderson                      "|"William             "|"Sir       "|t|81044|15
"Andrews                       "|"Cindy               "|"Miss      "|t|132595|16
"Andrews                       "|"Michael             "|"Sir       "|f|135694|15
"Andrews                       "|"Robert              "|"Sir       "|t|30467|16
"Anthony                       "|"Steven              "|"Dr.       "|t|210849|16
"Appleton                      "|"Gary                "|"Dr.       "|f|58554|16
"Archibald                     "|"Cindy               "|"Miss      "|t|87178|16
"Armstrong                     "|"Anthony             "|"Dr.       "|f|117770|16
"Armstrong                     "|"James               "|"Sir       "|t|197055|16
"Arnold                        "|"Cindy               "|"Mrs.      "|t|109038|15
"Arnold                        "|"Kimberly            "|"Mrs.      "|t|233183|15
"Arredondo                     "|"Phyllis             "|"Ms.       "|t|226220|16
"Arsenault                     "|"Janet               "|"Mrs.      "|f|169973|16
"Ashton                        "|"Irma                "|"Mrs.      "|t|99233|15
"Ayers                         "|"James               "|"Mr.       "|t|194981|15
"Back                          "|"Julissa             "|"Dr.       "|f|176205|15
"Baez                          "|"Henry               "|"Dr.       "|t|77293|15
"Bailey                        "|"Anita               "|"Mrs.      "|t|212443|16
"Bailey                        "|"Lucille             "|"Mrs.      "|t|2490|16
"Bailey                        "|"Steve               "|"Mr.       "|t|91065|15
"Baird                         "|"Bryan               "|"Dr.       "|f|204308|15
"Baker                         "|"Elijah              "|"Sir       "|f|97264|16
"Baker                         "|"Erik                "|"Sir       "|t|69511|16
"Baker                         "|"Jacob               "|"Sir       "|t|129227|15
"Baker                         "|"Robert              "|"Dr.       "|t|28481|15
"Baldwin                       "|"Robert              "|"Dr.       "|f|74281|16
"Ballard                       "|"Eleanor             "|"Miss      "|f|38446|16
"Ballard                       "|"Jennifer            "|"Mrs.      "|t|96862|16
"Barajas                       "|"Wendy               "|"Mrs.      "|f|213552|15
"Barba                         "|"William             "|"Sir       "|f|102719|15
"Barnard                       "|"Cristie             "|"Dr.       "|f|218606|15
"Barnes                        "|"Donald              "|"Mr.       "|f|151297|16
"Barnes                        "|"John                "|"Dr.       "|t|74071|15
"Barnes                        "|"Michael             "|"Mr.       "|f|168802|16
"Barnes                        "|"Mikel               "|"Sir       "|f|102567|16
"Barney                        "|"Meredith            "|"Ms.       "|t|32056|15
"Bates                         "|"Beverly             "|"Miss      "|f|122717|15
"Batista                       "|"Travis              "|"Dr.       "|f|175457|15
"Battle                        "|"Abraham             "|"Sir       "|f|5368|15
"Battle                        "|"Jane                "|"Ms.       "|f|192041|15
"Battle                        "|"Lashanda            "|"Dr.       "|f|88515|15
"Bear                          "|"Tommy               "|"Sir       "|f|27468|16
"Beard                         "|"Brian               "|"Mr.       "|t|152373|15
"Beasley                       "|"Joshua              "|"Dr.       "|t|32731|15
"Beck                          "|"Lyle                "|"Sir       "|t|124000|16
"Bell                          "|"William             "|"Mr.       "|t|82227|16
"Bender                        "|"Grover              "|"Dr.       "|t|152239|16
"Benedict                      "|"Bridget             "|"Dr.       "|f|16544|16
"Bennett                       "|"Salvatore           "|"Dr.       "|f|222046|15
"Bennett                       "|"Wesley              "|"Sir       "|f|56408|16
"Benson                        "|"Mike                "|"Sir       "|t|53219|16
"Bernard                       "|"Eric                "|"Sir       "|f|83015|16
"Bernstein                     "|"Stephen             "|"Sir       "|f|177678|15
"Berry                         "|"Theresa             "|"Ms.       "|t|77257|16
"Bilodeau                      "|"Norma               "|"Ms.       "|f|136244|16
"Bivins                        "|"Tracy               "|"Mr.       "|f|218867|15
"Black                         "|"Angela              "|"Mrs.      "|f|41070|15
"Blake                         "|"John                "|"Mr.       "|f|193896|16
"Blanchard                     "|"Joanne              "|"Dr.       "|t|5917|16
"Blanco                        "|"John                "|"Sir       "|t|145319|15
"Blankenship                   "|"Malcolm             "|"Sir       "|t|97846|15
"Bohn                          "|"Steven              "|"Mr.       "|f|219031|16
"Boles                         "|"George              "|"Sir       "|f|64282|15
"Bolin                         "|"Yolanda             "|"Dr.       "|f|13057|16
"Borges                        "|"Raul                "|"Sir       "|f|146033|15
"Boucher                       "|"Katherine           "|"Ms.       "|t|151396|15
"Bourgeois                     "|"Betty               "|"Miss      "|t|167229|16
"Bowden                        "|"Charles             "|"Mr.       "|f|237900|15
"Bowden                        "|"Kathleen            "|"Ms.       "|t|106265|16
"Bower                         "|"Sam                 "|"Mr.       "|f|83230|15
"Bowlin                        "|"Warren              "|"Mr.       "|f|40325|16
"Box                           "|"Eric                "|"Dr.       "|f|79283|16
"Boyd                          "|"Greg                "|"Dr.       "|f|188839|15
"Boyd                          "|"Mildred             "|"Miss      "|f|190083|15
"Boyer                         "|"Betty               "|"Mrs.      "|f|171238|16
"Boyle                         "|"Timothy             "|"Dr.       "|t|21865|16
"Bradley                       "|"Kevin               "|"Dr.       "|t|219814|15
"Brandt                        "|"James               "|"Sir       "|t|60562|16
"Brantley                      "|"Frank               "|"Dr.       "|t|66867|15
"Brewer                        "|"Bret                "|"Dr.       "|f|190139|16
"Brewer                        "|"Lynne               "|"Ms.       "|f|77584|16
"Broome                        "|"Anthony             "|"Miss      "|f|169148|15
"Brothers                      "|"Frank               "|"Dr.       "|t|24266|15
"Broughton                     "|"Doretta             "|"Ms.       "|f|206939|16
"Brower                        "|"Ann                 "|"Ms.       "|f|230732|15
"Brower                        "|"Donald              "|"Dr.       "|f|163579|16
"Brown                         "|"Brian               "|"Sir       "|t|147361|16
"Brown                         "|"Charles             "|"Mr.       "|t|221610|16
"Brown                         "|"David               "|"Mr.       "|t|162755|16
"Brown                         "|"Frederick           "|"Mr.       "|t|120037|16
"Brown                         "|"Janette             "|"Dr.       "|t|7269|16
"Brown                         "|"Janice              "|"Ms.       "|f|138617|15
"Brown                         "|"John                "|"Sir       "|t|79378|15
"Brown                         "|"Raymond             "|"Mr.       "|f|212279|15
"Brown                         "|"Roderick            "|"Mr.       "|t|221290|16
"Brown                         "|"Serina              "|"Mrs.      "|f|219286|15
"Brown                         "|"Will                "|"Mr.       "|f|147392|16
"Bruno                         "|"Darren              "|"Mr.       "|t|198805|16
"Bryant                        "|"Marvin              "|"Dr.       "|f|188014|16
"Buck                          "|"Andrew              "|"Dr.       "|f|128839|15
